Date,Description,Category,Amount
2026-04-01,Woolworths Carousel,Groceries,$46.80
2026-04-02,Transperth SmartRider,Transport,$7.20
2026-04-03,Campus Cafe,Coffee,$5.50
2026-04-04,Netflix Subscription,Subscriptions,$16.99
2026-04-05,Uber Eats,Dining,$28.40
2026-04-06,Kmart Belmont,Shopping,$32.00
2026-04-07,Coles Victoria Park,Groceries,$54.35
2026-04-08,Transperth SmartRider,Transport,$6.80
2026-04-09,Student Guild Cafe,Coffee,$4.90
2026-04-10,Hoyts Cinema,Entertainment,$22.00
2026-04-11,Spotify,Subscriptions,$13.99
2026-04-12,ALDI Cannington,Groceries,$38.75
2026-04-13,McDonald's,Dining,$14.60
2026-04-14,Pharmacy 777,Health,$18.20
2026-04-15,Transperth SmartRider,Transport,$7.20
2026-04-16,Campus Cafe,Coffee,$6.20
2026-04-17,JB Hi-Fi,Shopping,$49.00
2026-04-18,Woolworths Carousel,Groceries,$61.90
2026-04-19,Uber,Eating Out,$19.50
2026-04-20,Bookshop,Education,$42.00
2026-04-21,Transperth SmartRider,Transport,$6.80
2026-04-22,Domino's Pizza,Dining,$21.95
2026-04-23,Returned Item Refund,Refund,-$25.00
2026-04-24,Campus Cafe,Coffee,$5.70
2026-04-25,Event Ticket,Entertainment,$35.00
2026-04-26,Coles Victoria Park,Groceries,$47.25
2026-04-27,Phone Plan,Subscriptions,$35.00
2026-04-28,Transperth SmartRider,Transport,$7.20
2026-04-29,Takeaway Sushi,Dining,$16.80
2026-04-30,Emergency Savings Transfer,Savings,$50.00
